iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
6832,55,Art,Clipart,DANN,SGD,36,0.001,0.9698,0.0000,0.3938,1.4960,0.0000,3.1752
6954,56,Art,Clipart,DANN,SGD,36,0.001,0.9741,0.0000,0.3982,1.4833,0.0000,3.1238
7076,57,Art,Clipart,DANN,SGD,36,0.001,0.9677,0.0000,0.4030,1.5063,0.0000,3.0644
7198,58,Art,Clipart,DANN,SGD,36,0.001,0.9716,0.0000,0.3956,1.4961,0.0000,3.1969
7320,59,Art,Clipart,DANN,SGD,36,0.001,0.9664,0.0000,0.3936,1.5023,0.0000,3.1841
7442,60,Art,Clipart,DANN,SGD,36,0.001,0.9737,0.0000,0.3940,1.4913,0.0000,3.1285
7564,61,Art,Clipart,DANN,SGD,36,0.001,0.9721,0.0000,0.3959,1.4893,0.0000,3.1477
7686,62,Art,Clipart,DANN,SGD,36,0.001,0.9709,0.0000,0.3977,1.4987,0.0000,3.0879
7808,63,Art,Clipart,DANN,SGD,36,0.001,0.9682,0.0000,0.3986,1.5018,0.0000,3.1289
7930,64,Art,Clipart,DANN,SGD,36,0.001,0.9737,0.0000,0.4018,1.4820,0.0000,3.0814
8052,65,Art,Clipart,DANN,SGD,36,0.001,0.9721,0.0000,0.4014,1.4972,0.0000,3.0796
8174,66,Art,Clipart,DANN,SGD,36,0.001,0.9748,0.0000,0.4053,1.4818,0.0000,3.0563
8296,67,Art,Clipart,DANN,SGD,36,0.001,0.9744,0.0000,0.4009,1.4767,0.0000,3.0920
8418,68,Art,Clipart,DANN,SGD,36,0.001,0.9696,0.0000,0.3938,1.5047,0.0000,3.1274
8540,69,Art,Clipart,DANN,SGD,36,0.001,0.9737,0.0000,0.3993,1.4921,0.0000,3.1105
8662,70,Art,Clipart,DANN,SGD,36,0.001,0.9746,0.0000,0.4014,1.4869,0.0000,3.0760
8784,71,Art,Clipart,DANN,SGD,36,0.001,0.9696,0.0000,0.4046,1.4968,0.0000,3.0849
8906,72,Art,Clipart,DANN,SGD,36,0.001,0.9730,0.0000,0.3956,1.4840,0.0000,3.1061
9028,73,Art,Clipart,DANN,SGD,36,0.001,0.9703,0.0000,0.3989,1.4996,0.0000,3.0781
9150,74,Art,Clipart,DANN,SGD,36,0.001,0.9739,0.0000,0.4011,1.4794,0.0000,3.1328
9272,75,Art,Clipart,DANN,SGD,36,0.001,0.9712,0.0000,0.4018,1.4926,0.0000,3.0769
9394,76,Art,Clipart,DANN,SGD,36,0.001,0.9737,0.0000,0.3959,1.4830,0.0000,3.1010
9516,77,Art,Clipart,DANN,SGD,36,0.001,0.9751,0.0000,0.3913,1.4831,0.0000,3.1394
9638,78,Art,Clipart,DANN,SGD,36,0.001,0.9762,0.0000,0.3977,1.4798,0.0000,3.0822
9760,79,Art,Clipart,DANN,SGD,36,0.001,0.9714,0.0000,0.3984,1.4944,0.0000,3.0914
9882,80,Art,Clipart,DANN,SGD,36,0.001,0.9728,0.0000,0.3934,1.4931,0.0000,3.0729
10004,81,Art,Clipart,DANN,SGD,36,0.001,0.9728,0.0000,0.3986,1.4908,0.0000,3.0553
